product_name,barcode,old_image,new_image,old_price,new_price
Findus Wok Bali gyorsfagyasztott enyhén fűszerezett wok zöldségkeverék 325 g,3599741001935.0,mageproxy.wolt.com/assets/689b78a387a8f04a4a7d86b6,mageproxy.wolt.com/assets/696e244937fecf84c67b9594,1639.0,1705.0
Findus Wok Chinese fagyasztott fűszerezett zöldségkeverék wokhoz 325 g,3599741002079.0,mageproxy.wolt.com/assets/689b7624f18c6aaa803098a1,mageproxy.wolt.com/assets/6970c7c17e37809df6dec4ed,1639.0,1705.0
Findus Wok Spicy Zanju gyorsfagyasztott csípős wok zöldségkeverék 325 g,3599741002093.0,mageproxy.wolt.com/assets/689b711f87a8f04a4a7d7863,mageproxy.wolt.com/assets/6970c7c17e37809df6dec4ee,1639.0,1705.0
Findus Wok Classic fagyasztott fűszerezet zöldségkeverék wokhoz 325 g,3599741002109.0,mageproxy.wolt.com/assets/689b762787a8f04a4a7d7f72,mageproxy.wolt.com/assets/696e244837fecf84c67b9592,1639.0,1705.0
KitKat ropogós ostya mogyorós krémmel tej- és étcsokoládéban 99 g,3800020491546.0,mageproxy.wolt.com/assets/689bb4cd87a8f04a4a7ddedf,mageproxy.wolt.com/assets/6908a0bf5a64760b23662102,999.0,1049.0
"KitKat Double Chocolate kakaós krémmel töltött ropogós ostya tej- és étcsokoládéban, 99 g",3800020491553.0,mageproxy.wolt.com/assets/689bb4cd87a8f04a4a7ddede,mageproxy.wolt.com/assets/6908a0cf5a64760b23662119,999.0,1049.0
"Vegeta ételízesítő, 500 g",3850104008443.0,mageproxy.wolt.com/assets/689b6e76f18c6aaa8030906c,mageproxy.wolt.com/assets/695fa3e517906cb1450ae9ce,1549.0,1644.0
Vegeta ételízesítő 250 g,3850104008597.0,mageproxy.wolt.com/assets/689b6e76f18c6aaa8030906f,mageproxy.wolt.com/assets/695fa3e417906cb1450ae9cc,799.0,849.0
"Vegeta ételízesítő, 125 g",3850104008825.0,mageproxy.wolt.com/assets/689b720ef18c6aaa80309279,mageproxy.wolt.com/assets/695fa3e417906cb1450ae9cd,589.0,624.0
Podravka csípős ajvár 350 g,3850104050565.0,mageproxy.wolt.com/assets/689b6afaf18c6aaa80308852,mageproxy.wolt.com/assets/69a97797f115f4a3251e87c2,1269.0,1390.0
Podravka csemege ajvár 350 g,3850104051029.0,mageproxy.wolt.com/assets/689b6afff18c6aaa80308862,mageproxy.wolt.com/assets/69a97795f115f4a3251e87bd,1269.0,1390.0
"Somersby alma cider almalé alapú szénsavas, alkoholos ital 4,5% 0,33 l",3858887584925.0,mageproxy.wolt.com/assets/689bb7229bbcfa1dc39bee70,mageproxy.wolt.com/assets/68e7aaf776f0377a07cb9850,549.0,619.0
"Somersby Blueberry cider almalé alapú szénsavas, alkoholos ital kékáfonya ízesítéssel 4,5% 330 ml",3858887584949.0,mageproxy.wolt.com/assets/689bb723f18c6aaa8030d944,mageproxy.wolt.com/assets/68e7aaf776f0377a07cb9852,549.0,619.0
"Somersby Strawberry & Lime alkoholmentes szénsavas ital eper és lime ízesítéssel 0,0% 330 ml",3858887585021.0,mageproxy.wolt.com/assets/689bb724f18c6aaa8030d94a,mageproxy.wolt.com/assets/68e7aaf976f0377a07cb9858,549.0,619.0
"Somersby alma cider almalé alapú szénsavas, alkoholos ital 4,5% 0,5 l",3858887585069.0,mageproxy.wolt.com/assets/689bb723f18c6aaa8030d942,mageproxy.wolt.com/assets/68e7aaf776f0377a07cb9851,599.0,659.0
"Somersby Blueberry cider almalé alapú szénsavas, alkoholos ital kékáfonya ízesítéssel 4,5% 0,5 l",3858887585106.0,mageproxy.wolt.com/assets/689bb723f18c6aaa8030d945,mageproxy.wolt.com/assets/68e7aaf876f0377a07cb9853,599.0,659.0
"Tuborg világos sör 4,6% 0,5 l",3858887585144.0,mageproxy.wolt.com/assets/689bb71ff18c6aaa8030d93d,mageproxy.wolt.com/assets/69c5748de24f4a9d75093bd5,429.0,469.0
"Somersby cider málna és lime ízesítéssel 4.5%, 330 ml",3858887585182.0,mageproxy.wolt.com/assets/689bb723f18c6aaa8030d943,mageproxy.wolt.com/assets/667680d71b708918eb6e8c7b,549.0,619.0
"Somersby körte cider körtelé alapú szénsavas alkoholos ital 4,5% 330 ml",3858887585670.0,mageproxy.wolt.com/assets/689bb724f18c6aaa8030d94b,mageproxy.wolt.com/assets/68e7aaf976f0377a07cb9857,549.0,619.0
"Somersby Elderflower & Lime alkoholmentes szénsavas ital bodzavirág és lime ízesítéssel 0,0% 330 ml",3858887585830.0,mageproxy.wolt.com/assets/689bb723f18c6aaa8030d948,mageproxy.wolt.com/assets/68e7aafa76f0377a07cb9859,549.0,619.0
Lindt Lindor tejcsokoládé lágyan olvadó narancsos töltelékkel 38 g,4000539397660.0,b2b-8ad67e491c11_sx239_lindor_orange_stick_38g.jpg,mageproxy.wolt.com/assets/678e0e40daf01e7f1ad1aef8,579.0,660.0
"Eduscho Family őrölt, pörkölt kávé, 500 g",4006067089848.0,mageproxy.wolt.com/assets/689b795c87a8f04a4a7d89a4,mageproxy.wolt.com/assets/67f8a44b800c7a83d5a68037,3899.0,3464.0
Zott Protein kakaós puding édesítőszerekkel 200 g,4014500519173.0,mageproxy.wolt.com/assets/689bb2eb87a8f04a4a7dd878,mageproxy.wolt.com/assets/68ff664735482569962513e6,449.0,539.0
Lorenz Pomsticks sós burgonya pálcikák 85 g,4018077821424.0,mageproxy.wolt.com/assets/689b6bb387a8f04a4a7d75dc,mageproxy.wolt.com/assets/68f8ced85d9a046ba8e94a1c,699.0,755.0
Dr. Oetker Cuisine Vega vegán növényi készítmény főzőtejszín helyettesítésére 250 ml,4023600015072.0,mageproxy.wolt.com/assets/689b7172f18c6aaa8030916c,mageproxy.wolt.com/assets/69c3c06ae24f4a9d75093ac3,899.0,954.0
Dr. Oetker magas fehérjetartalmú Bourbon vaníliás puding édesítőszerekkel 200 g,4023600016314.0,mageproxy.wolt.com/assets/689b783887a8f04a4a7d84e5,mageproxy.wolt.com/assets/6985df2e9b8bf67599530507,599.0,649.0
Dr. Oetker High Protein Puding csokoládé ízű 200 g,4023600016338.0,mageproxy.wolt.com/assets/689b7172f18c6aaa8030916f,mageproxy.wolt.com/assets/697b52e4088b76a80bd498a5,599.0,649.0
Dr. Oetker High Protein Puding Gríz 200 g,4023600016352.0,mageproxy.wolt.com/assets/689b7172f18c6aaa8030916e,mageproxy.wolt.com/assets/6985df2d9b8bf67599530506,599.0,649.0
Müller Müllermilch csokoládé ízű zsírszegény tejital 400 g,4025500132477.0,mageproxy.wolt.com/assets/689b71c087a8f04a4a7d7985,mageproxy.wolt.com/assets/69b20244649ecdda9f3fe15c,499.0,535.0
Müller Müllermilch Zero csokoládé ízű zsírszegény tejital édesítőszerekkel 387 ml,4025500276423.0,mageproxy.wolt.com/assets/689b71c3f18c6aaa803091f4,mageproxy.wolt.com/assets/696a2f736a75fe7e17cfbd4b,499.0,539.0
"Tchibo Espresso Milano őrölt, pörkölt kávé, 250 g",4046234567076.0,mageproxy.wolt.com/assets/68dbce5ae4991e9d3ee08af1,mageproxy.wolt.com/assets/69342264c5cb6de83d0d562d,2699.0,2834.0
"Tchibo Espresso Sicilia őrölt, pörkölt kávé, 250 g",4046234567137.0,mageproxy.wolt.com/assets/689b6fdf9bbcfa1dc39bac6e,mageproxy.wolt.com/assets/6934221cc5cb6de83d0d55c9,2699.0,2834.0
"Tchibo Espresso Sicilia szemes, pörkölt kávé 500 g",4046234567151.0,mageproxy.wolt.com/assets/689b6fe09bbcfa1dc39bac71,mageproxy.wolt.com/assets/69342264c5cb6de83d0d5630,5899.0,5669.0
"Tchibo Espresso Milano szemes, pörkölt kávé 1 kg",4061445008279.0,mageproxy.wolt.com/assets/689b6fdf9bbcfa1dc39bac6f,mageproxy.wolt.com/assets/6934221dc5cb6de83d0d55ca,9999.0,10499.0
"Tchibo Espresso Sicilia szemes, pörkölt kávé, 1000 g",4061445008293.0,mageproxy.wolt.com/assets/689b6fe39bbcfa1dc39bac79,mageproxy.wolt.com/assets/69342265c5cb6de83d0d5632,9999.0,10499.0
"Tchibo Variazione szemes, pörkölt kávé 1000 g",4061445305750.0,mageproxy.wolt.com/assets/689b6fbb9bbcfa1dc39babfa,mageproxy.wolt.com/assets/693421f4c5cb6de83d0d5582,9999.0,9449.0
"Gala Wiener Extra őrölt, pörkölt kávé 250 g",4061445307143.0,mageproxy.wolt.com/assets/689b75aa9bbcfa1dc39bb36a,mageproxy.wolt.com/assets/693421fdc5cb6de83d0d558d,1999.0,1679.0
"Tchibo Exclusive Good Mood Blend szemes, pörkölt kávé 1000 g",4061445344957.0,mageproxy.wolt.com/assets/689bb2ea87a8f04a4a7dd872,mageproxy.wolt.com/assets/69493a2ed1c7b7ac494fb5a5,8999.0,9449.0
Tchibo Cafissimo Caffè Crema Fine Aroma kávékapszula 30 db 210 g,4061445355229.0,mageproxy.wolt.com/assets/689bb26187a8f04a4a7dd6b4,mageproxy.wolt.com/assets/69493a35d1c7b7ac494fb5b0,5299.0,5459.0
Tchibo Cafissimo Caffè Crema Rich Aroma kávékapszula 30 db 228 g,4061445355267.0,mageproxy.wolt.com/assets/689bb26287a8f04a4a7dd6bd,mageproxy.wolt.com/assets/69493a36d1c7b7ac494fb5b2,5299.0,5459.0
"Tchibo Cafissimo Espresso Elegant Aroma kávékapszula, 70 g, 10 db",4061445355328.0,mageproxy.wolt.com/assets/689bb2ce87a8f04a4a7dd810,mageproxy.wolt.com/assets/689b6bfa87a8f04a4a7d76ca,1899.0,1944.0
Tchibo Cafissimo Espresso Elegant kávékapszula 30 db 210 g,4061445355342.0,mageproxy.wolt.com/assets/689bb26287a8f04a4a7dd6bb,mageproxy.wolt.com/assets/69493a38d1c7b7ac494fb5b6,5299.0,5459.0
"Tchibo Cafissimo Espresso Intense Aroma kávékapszula, 75 g, 10 db",4061445355366.0,mageproxy.wolt.com/assets/689bb2ce87a8f04a4a7dd814,mageproxy.wolt.com/assets/67f504375ebdee482c19d339,1899.0,1944.0
Tchibo Cafissimo Espresso Intense Aroma kávékapszula 30 db 225 g,4061445355380.0,mageproxy.wolt.com/assets/689bb26287a8f04a4a7dd6bc,mageproxy.wolt.com/assets/69493a39d1c7b7ac494fb5b9,5299.0,5459.0
Tchibo Cafissimo Decaffeinato koffeinmentes kávékapszula 10 db 70 g,4061445355427.0,mageproxy.wolt.com/assets/689bb2d087a8f04a4a7dd81b,mageproxy.wolt.com/assets/6934224ec5cb6de83d0d560c,1899.0,1944.0
"Tchibo Cafissimo Barista Espresso Brasil kávékapszula, 80 g, 10 db",4061445355526.0,mageproxy.wolt.com/assets/689bb2d087a8f04a4a7dd81d,mageproxy.wolt.com/assets/689b750c87a8f04a4a7d7e1f,1899.0,1994.0
Tchibo Cafissimo Espresso Flavored Edition Double Choc kávékapszula 10 db 70 g,4061445355564.0,mageproxy.wolt.com/assets/689bb2cc9bbcfa1dc39beac6,mageproxy.wolt.com/assets/69342212c5cb6de83d0d55a9,1899.0,1944.0
"Tchibo Cafissimo Espresso Flavored Edition Caramel kávékapszula 75 g, 10 db",4061445355588.0,mageproxy.wolt.com/assets/689bb2cc9bbcfa1dc39beac7,mageproxy.wolt.com/assets/69342213c5cb6de83d0d55ab,1899.0,1944.0
Tchibo Cafissimo Barista Edition Espresso kávékapszula 10 db 80 g,4061445355601.0,mageproxy.wolt.com/assets/689bb2d087a8f04a4a7dd81e,mageproxy.wolt.com/assets/6934224fc5cb6de83d0d5611,1899.0,1944.0
Tchibo Cafissimo Barista Edition Caffè Crema kávékapszula 10 db 80 g,4061445355625.0,mageproxy.wolt.com/assets/689bb2d087a8f04a4a7dd81c,mageproxy.wolt.com/assets/69342216c5cb6de83d0d55b5,1899.0,1944.0
Jägermeister gyógynövénylikőr 35% 700 ml,4067700031846.0,mageproxy.wolt.com/assets/689badc387a8f04a4a7dc7cb,mageproxy.wolt.com/assets/69d6357cf17312ee6578ee1e,8449.0,9005.0
Tibi Aerated tejcsokoládé 80 g,4823077632075.0,mageproxy.wolt.com/assets/689b74e787a8f04a4a7d7ded,mageproxy.wolt.com/assets/69dd83b5ddef9b56faf8ba82,599.0,524.0
Carolans ír krémlikőr 17% 70 cl,5011026105223.0,mageproxy.wolt.com/assets/6818b8cb82f00f6d6fdb725d,mageproxy.wolt.com/assets/69d6355af17312ee6578edf2,8099.0,8924.0
Haribo Chamallows Tubular Colors habcukorka 90 g,5410358452966.0,mageproxy.wolt.com/assets/689b76d187a8f04a4a7d80d4,mageproxy.wolt.com/assets/692d8aca6980ec1e3ff65810,549.0,614.0
"Alpro Shhh... this is not Milk cukormentes zabital hozzáadott kalciummal és D2-vitaminnal 3.5%, 1000 ml",5411188134985.0,mageproxy.wolt.com/assets/66793ecdad16d3049c1bf084,mageproxy.wolt.com/assets/689b776e87a8f04a4a7d825c,1149.0,1354.0
"Lindemans Tarot Noir belga vörös erdei gyümölcsös lambic sör 8% 0,25 l",5411223005300.0,mageproxy.wolt.com/assets/689b784687a8f04a4a7d851f,mageproxy.wolt.com/assets/691b163caf7ff67e6dc54474,1249.0,1424.0
Poco Loco Tortilla sajtos ízesítésű kukoricachips 200 g,5412514222246.0,mageproxy.wolt.com/assets/689b784587a8f04a4a7d851e,mageproxy.wolt.com/assets/69833bf0879d20d22ae7f130,999.0,1079.0
Poco Loco Tortilla enyhén sózott kukoricachips 200 g,5412514333348.0,mageproxy.wolt.com/assets/689b784787a8f04a4a7d8522,mageproxy.wolt.com/assets/69833bef879d20d22ae7f12f,999.0,1079.0
Lurpak enyhén sózott kenhető keverék készítmény 200 g,5740900400849.0,mageproxy.wolt.com/assets/689b7a2087a8f04a4a7d8bc4,mageproxy.wolt.com/assets/698f198d960776714feee152,1849.0,1944.0
Lurpak kenhető keverék készítmény vajjal és növényi olajjal 200 g,5740900401402.0,mageproxy.wolt.com/assets/689b7a2087a8f04a4a7d8bc3,mageproxy.wolt.com/assets/698c76b6a51adfa230b31a6a,1849.0,1944.0
"Lurpak Enyhén sózott, csökkentett zsírtartalmú kenhető keverék készítmény 200 g",5740900815308.0,mageproxy.wolt.com/assets/689b7a229bbcfa1dc39bb4c2,mageproxy.wolt.com/assets/698f198f960776714feee155,1849.0,1944.0
"Garage Hard Strawberry epres margarita ízesítésű ízesített maláta sör 4,5% 400 ml",5900014230040.0,mageproxy.wolt.com/assets/689bb7229bbcfa1dc39bee72,mageproxy.wolt.com/assets/68e7aaf576f0377a07cb984c,619.0,679.0
"Nestlé Cookie Crisp süti formájú, csokiízű, ropogós gabonapehely 375 g",5900020011886.0,mageproxy.wolt.com/assets/689b7a3e9bbcfa1dc39bb4f0,mageproxy.wolt.com/assets/6942a266971a9b8089960a79,1699.0,1909.0
"Nestlé Nesquik kakaós ízű, ropogós gabonapehely vitaminokkal és ásványi anyagokkal, 375 g",5900020013668.0,mageproxy.wolt.com/assets/689bb0b587a8f04a4a7dd135,mageproxy.wolt.com/assets/69302de1fd831a492a8a7e1e,1699.0,1909.0
"Chocapic csokiízű, ropogós gabonapehely vitaminokkal és ásványi anyagokkal 375 g",5900020013927.0,mageproxy.wolt.com/assets/689b7a4587a8f04a4a7d8be8,mageproxy.wolt.com/assets/69302de6fd831a492a8a7e27,1699.0,1909.0
"Nestlé Cini Minis ropogós fahéjas gabonapehely teljes kiőrlésű búzával, vitaminokkal és vassal, 375 g",5900020022769.0,mageproxy.wolt.com/assets/689bb1a1f18c6aaa8030d420,mageproxy.wolt.com/assets/69c422e1e24f4a9d75093b00,1699.0,1909.0
"Nestlé Fitness tejcsokoládés gabonapehely-szelet vitaminokkal és ásványi anyagokkal 22,5 g",5900020025678.0,mageproxy.wolt.com/assets/689b7a4f87a8f04a4a7d8bee,mageproxy.wolt.com/assets/69302de9fd831a492a8a7e30,229.0,249.0
"Nestlé Chocapic csokiízű, ropogós gabonapehely vitaminokkal és ásványi anyagokkal 250 g",5900020027467.0,mageproxy.wolt.com/assets/689b7a5087a8f04a4a7d8bf3,mageproxy.wolt.com/assets/6974bb69d0bdb8bbc81d1368,1199.0,1379.0
"Nesquik Alphabet betű formájú, kakaós ízű, ropogós gabonapehely vitaminokkal 325 g",5900020032096.0,mageproxy.wolt.com/assets/689b7a579bbcfa1dc39bb518,mageproxy.wolt.com/assets/6974bb68d0bdb8bbc81d1367,1699.0,1909.0
"Strawberry Minis ropogós, epres ízű gabonapehely teljes kiőrlésű búzával, vitaminokkal 375 g",5900020042163.0,mageproxy.wolt.com/assets/689bb04a87a8f04a4a7dcfcc,mageproxy.wolt.com/assets/69c422dfe24f4a9d75093afa,1699.0,1909.0
Chocapic brownie ízű ropogós gabonapehely vitaminokkal és ásványi anyagokkal 300 g,5900020042514.0,mageproxy.wolt.com/assets/689b7a5d9bbcfa1dc39bb51f,mageproxy.wolt.com/assets/69205c2406e04050fa7f5f91,1699.0,1909.0
"Cini Minis Churros ropogós, fahéjas gabonapehely teljes kiőrlésű búzával 300 g",5900020042774.0,mageproxy.wolt.com/assets/689bb04c87a8f04a4a7dcfd3,mageproxy.wolt.com/assets/698c76baa51adfa230b31a7b,1699.0,1909.0
KitKat kakaós ízű ropogós gabonapehely tejcsokoládéval vitaminokkal és ásványi anyagokkal 330 g,5900020043191.0,mageproxy.wolt.com/assets/689b7a619bbcfa1dc39bb52c,mageproxy.wolt.com/assets/6915cf7de9eb908bf84f0d12,1899.0,2014.0
Nestlé Trix gyümölcsös ízű ropogós gabonapehely vitaminokkal és ásványi anyagokkal 300 g,5900020045133.0,mageproxy.wolt.com/assets/689b7a6487a8f04a4a7d8c04,mageproxy.wolt.com/assets/6974bb6ad0bdb8bbc81d136b,1699.0,1909.0
Loyd málna és eper ízű filteres gyümölcstea 20 filter 40 g,5900396016164.0,mageproxy.wolt.com/assets/689b7aa69bbcfa1dc39bb5a5,mageproxy.wolt.com/assets/698dc835a51adfa230b31cb0,739.0,794.0
Loyd fekete áfonya és szeder ízű filteres gyümölcstea 20 filter 40 g,5900396016171.0,mageproxy.wolt.com/assets/689b7aa69bbcfa1dc39bb5a4,mageproxy.wolt.com/assets/698dc82aa51adfa230b31c9e,739.0,794.0
Loyd szilva és fahéj ízű aromatizált gyümölcstea 20 filter 40 g,5900396017291.0,mageproxy.wolt.com/assets/689b7aaa87a8f04a4a7d8c49,mageproxy.wolt.com/assets/698dc82ea51adfa230b31ca3,739.0,794.0
Loyd erdei gyümölcs ízű filteres tea 20 filter 40 g,5900396022455.0,mageproxy.wolt.com/assets/689b7aae9bbcfa1dc39bb5ac,mageproxy.wolt.com/assets/698dc830a51adfa230b31ca8,739.0,794.0
Mokate 3in1 Classic azonnal oldódó kávéspecialitás 10 x 17 g (170 g),5900649011052.0,mageproxy.wolt.com/assets/689b7b439bbcfa1dc39bb6e5,mageproxy.wolt.com/assets/69302d9cfd831a492a8a7d76,849.0,934.0
Mokate 3in1 instant kávéitalpor kávéba és teába cukorral 24 x 17 g (408 g),5900649067530.0,mageproxy.wolt.com/assets/689b7b499bbcfa1dc39bb6ee,mageproxy.wolt.com/assets/69302d9bfd831a492a8a7d73,1649.0,1784.0
"1664 Rosé málna ízű ízesített búzasör, bodza és málna gyümölcslével 4,5% 500 ml",5901594001914.0,mageproxy.wolt.com/assets/689bb7229bbcfa1dc39bee71,mageproxy.wolt.com/assets/68e7aaf676f0377a07cb984f,589.0,659.0
"1664 Rosé málna ízű ízesített búzasör, bodza és málna gyümölcslével 4,5% 330 ml",5901594001921.0,mageproxy.wolt.com/assets/689bb7219bbcfa1dc39bee6e,mageproxy.wolt.com/assets/68e7aaf676f0377a07cb984e,539.0,605.0
Lestello bulgur 2 x 125 g,5902609001073.0,mageproxy.wolt.com/assets/689bb02687a8f04a4a7dcf5f,mageproxy.wolt.com/assets/69205bf206e04050fa7f5f15,569.0,604.0
"Schulstad Classic búzalisztből készült, francia fúrt hot dog kifli 3 x 60 g (180 g)",5902620238465.0,mageproxy.wolt.com/assets/689b7c63f18c6aaa80309c7a,mageproxy.wolt.com/assets/68e8fd199a94eea72b3549ec,569.0,615.0
Danette Paris Brest ízű réteges tejdesszert 4 x 90 g (360 g),5941209025294.0,mageproxy.wolt.com/assets/689b7d6e9bbcfa1dc39bbb64,mageproxy.wolt.com/assets/69df7007ddef9b56faf9e76a,949.0,1025.0
"Strongbow Red Berries cider piros bogyós gyümölcs ízesítéssel 4,5% 330 ml",5942105011527.0,mageproxy.wolt.com/assets/689bb74bf18c6aaa8030d99a,mageproxy.wolt.com/assets/698f199b960776714feee164,509.0,554.0
"Fütyülős meggy ízű likőr 24,5% 0,5 l",5995099447186.0,mageproxy.wolt.com/assets/689c72cdf18c6aaa8030f983,mageproxy.wolt.com/assets/69317f02c5cb6de83d0d46b3,4499.0,4934.0
Master Good Füstli Klasszik füst ízesítésű virsli csirkehúsból 350 g,5995663909096.0,mageproxy.wolt.com/assets/689b7ec187a8f04a4a7d8cd5,mageproxy.wolt.com/assets/69c2d14ae24f4a9d75093a92,899.0,1469.0
Master Good Füstli Klasszik füst ízesítésű virsli csirkehúsból 140 g,5995663909119.0,mageproxy.wolt.com/assets/689b7ec087a8f04a4a7d8cd3,mageproxy.wolt.com/assets/69c6636322b147f1899f25c5,629.0,660.0
Master Good szeletelt selyemsonka pulykamellhúsból 80 g,5995663967492.0,mageproxy.wolt.com/assets/689b7ec59bbcfa1dc39bbe4d,mageproxy.wolt.com/assets/69493a24d1c7b7ac494fb589,739.0,779.0
"Master Good Füstli sajtos, füst ízesítésű virsli csirkehúsból 350 g",5995663969496.0,mageproxy.wolt.com/assets/689bb5d687a8f04a4a7de170,mageproxy.wolt.com/assets/69c6636222b147f1899f25c4,899.0,1469.0
Master Good szeletelt selyemsonka csirkemellmellhúsból 100 g,5995663972229.0,mageproxy.wolt.com/assets/689b7edb9bbcfa1dc39bbe74,mageproxy.wolt.com/assets/695baf245cd662af9f5c43bc,739.0,779.0
Master Good szeletelt selyemsonka csirkemellhúsból pritaminpaprikával 100 g,5995663973783.0,mageproxy.wolt.com/assets/689b7eea87a8f04a4a7d8cf4,mageproxy.wolt.com/assets/69b00f50f15f84d5e8dfcd4c,739.0,779.0
"Valdor Zoo gyorsfagyasztott, készre sütött, panírozott, darabokból formázott csirkemellfilé 480 g",5995910712219.0,mageproxy.wolt.com/assets/689b7f539bbcfa1dc39bbf3d,mageproxy.wolt.com/assets/68f237193eaefc4bd9213ca7,2599.0,2704.0
"Valdor Zizu gyorsfagyasztott, készre sütött, panírozott csirkemellfilé 500 g",5995910715036.0,mageproxy.wolt.com/assets/689b7f589bbcfa1dc39bbf41,mageproxy.wolt.com/assets/68ee42b53ad8667942a22b3d,3099.0,3224.0
Carte d'Or Jégkrém Eper 1000 ml,5996037050536.0,mageproxy.wolt.com/assets/689b7f8687a8f04a4a7d8d85,mageproxy.wolt.com/assets/691c67b386ec9335bd492777,2299.0,2544.0
Carte d'Or Jégkrém Dió 1000 ml,5996037050543.0,mageproxy.wolt.com/assets/689b7f8687a8f04a4a7d8d86,mageproxy.wolt.com/assets/692edc63b18c5ba5c5c62418,2299.0,2544.0
Knorr tyúkhúsleveskocka 6 x 10 g (60 g),5996358014170.0,mageproxy.wolt.com/assets/689b7fa587a8f04a4a7d8db9,mageproxy.wolt.com/assets/698c76b2a51adfa230b31a60,539.0,569.0
Knorr tyúkhúsleveskocka 12 x 10 g (120 g),5996358014187.0,mageproxy.wolt.com/assets/689b7fa587a8f04a4a7d8db6,mageproxy.wolt.com/assets/698c76b0a51adfa230b31a5b,839.0,884.0
Knorr XXL tyúkhúsleveskocka 18 x 10 g (180 g),5996358014194.0,mageproxy.wolt.com/assets/689b7fa587a8f04a4a7d8db8,mageproxy.wolt.com/assets/698c76b3a51adfa230b31a62,999.0,1049.0
Knorr halászlékocka 12 x 10 g (120 g),5996358014286.0,mageproxy.wolt.com/assets/689b7fa69bbcfa1dc39bbfba,mageproxy.wolt.com/assets/698c76b2a51adfa230b31a5f,869.0,914.0
Haribo Happy Cherries gyümölcsízű gumicukorka 100 g,5996379309828.0,mageproxy.wolt.com/assets/689b7fa987a8f04a4a7d8dbb,mageproxy.wolt.com/assets/69bc39dc016902d4a7a17f64,499.0,564.0
Haribo Wummis F!zz gyümölcsízű gumicukorka 100 g,5996379377278.0,mageproxy.wolt.com/assets/689b7fab9bbcfa1dc39bbfc3,mageproxy.wolt.com/assets/69df6fffddef9b56faf9e760,499.0,564.0
Haribo Wummis gyümölcsízű gumicukorka 100 g,5996379377360.0,mageproxy.wolt.com/assets/689b7fab9bbcfa1dc39bbfc4,mageproxy.wolt.com/assets/690de758f365b197a3604687,499.0,564.0
"Herbária filterezett borsosmentalevél 25 filter 37,5 g",5997005330056.0,mageproxy.wolt.com/assets/689b804487a8f04a4a7d8ebe,mageproxy.wolt.com/assets/690b4384f0e433b8a3b0b14b,749.0,649.0
