==== SHEET 1 (CSV 2400..2424) ====
 1 | Auchan | Master good grillkolbász csirkehúsból, medvehagymalevéllel és szárított zöldségekkel 370g | 370.0 g | brand:Master Good | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
21 | Auchan | Griller cheddar-jalapeno 250g | 250.0 g | brand:Gierlinger | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
22 | Auchan | Griller padaricsomos-mozzarellás 250 G | 250.0 g | brand:Gierlinger | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
23 | Auchan | KOMETA bajmagyarosserpenyős kolbász 400g | 400.0 g | brand:KOMETA | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
24 | Auchan | Gierlinger Premium Bacon roppanós sajtos virsli baconbe göngyölve 300 g | 300.0 g | brand:Gierlinger premium bacon | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
25 | Auchan | PICK Fresh Corner klasszikus hot-dog kolbász 300 g | 300.0 g | brand:PICK | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
==== SHEET 2 (CSV 2425..2449) ====
 1 | Auchan | Csirkeszárny Buffalo izesítéssel 500g | 500.0 g | brand:Master Good | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
 2 | Auchan | KOMETA bajor serpenyős kolbász 400g | 400.0 g | brand:KOMETA | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
 3 | Auchan | Csirke combfilé buffalo ízesítéssel 500g | 500.0 g | brand:Master Good | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
 4 | Auchan | Csirke combfilé fokhagymás-zöldfűszeres ízesítéssel 500G | 500.0 g | brand:Master Good | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
 5 | Auchan | Csirke combfilé magyaros ízesítéssel 500g | 500.0 g | brand:Master Good | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
 6 | Auchan | Friss pácolt csirke felsőcombfilé paradicsomos-salsa 500 g | 500.0 g | brand:TARAVIS | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
 7 | Auchan | Csirkemellfilé édes-csípős pácban 500g | 500.0 g | brand:TARAVIS | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
 8 | Auchan | Csirke mellfilé buffalo ízesítéssel 500g | 500.0 g | brand:Master Good | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
 9 | Auchan | Csirke mellfilé magyaros ízesítéssel 500g | 500.0 g | brand:Master Good | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
10 | Auchan | Csirke mellfilé sültcsirke ízesítéssel 500g | 500.0 g | brand:Master Good | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
11 | Auchan | Csirkemellfilé Dolce Vita ízesítéssel 500g | 500.0 g | brand:Master Good | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
12 | Auchan | Csirkemellfilé mézes-mustáros 500 g | 500.0 g | brand:TARAVIS | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
13 | Auchan | Kometa szeletelt magyaros gyorspácolt sertéstarja 500 g | 500.0 g | brand:KOMETA | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
14 | Auchan | Kometa zöldfűszeres fokhagymás sertéstarja 500 g | 500.0 g | brand:KOMETA | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
15 | Auchan | Sertés grill császárszalonna magyaros 600 g, csomagolt | 600.0 g | brand:Hajnal | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
16 | Auchan | Whiskys BBQ fűszerezésű sertéskaraj 600 g | 600.0 g | brand:Hajnal | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
17 | Auchan | Barna sörös sertéstarja 600 g | 600.0 g | brand:Hajnal | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
18 | Auchan | Fredi grill tarja mustáros szeletelt 600 g csomagolt | 600.0 g | brand:Hajnal | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
19 | Auchan | Whiskys BBQ sertéstarja 600 g | 600.0 g | brand:Hajnal | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
20 | Auchan | Baconbe göngyölt csirkemellfilé Dolce Vita ízesítéssel 500g | 500.0 g | brand:Master Good | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
21 | Auchan | Sertés Frédi szelet magyaros pácban , csomagolt | 1000.0 g | brand:Hajnal | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
22 | Auchan | Frédi szelet montreál pácban Ft/kg, csomagolt | 1000.0 g | brand:Hajnal | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
23 | Auchan | Frédi szelet mustáros pácban Ft/kg, csomagolt | 1000.0 g | brand:Hajnal | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
24 | Auchan | Sertés tarja nyári grill Ft/kg | 1000.0 g | brand:HAJDÚHÚS | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
25 | Auchan | Auchan Kedvenc marha darált hús max. 20% zsírtartalommal védőgázas csomagolásban | 1000.0 g | brand:Auchan | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
==== SHEET 3 (CSV 2450..2474) ====
 1 | Auchan | Kometa sertés-marha hamburgerhús 250 g | 250.0 g | brand:KOMETA | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
 2 | Auchan | Kometa sertés-marha csevapcsicsa 360 g | 360.0 g | brand:KOMETA | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
 3 | Auchan | Csirkemellfilé fokhagymás zöldfűszeres 500g | 500.0 g | brand:Master Good | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
 4 | Auchan | Csirke combfilé mézes-mustáros ízesítéssel 500g | 500.0 g | brand:Master Good | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
 5 | Auchan | Csirke mellfilé tandori ízesítéssel 500g | 500.0 g | brand:Master Good | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
 6 | Auchan | Angus marha hamburger húspogácsa 250 g | 250.0 g | brand:TERRA PANNONIA | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
 7 | Auchan | Kometa szeletelt magyaros gyorspácolt sertéstarja 500 g | 500.0 g | brand:KOMETA | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
 8 | Auchan | Kometa somogyi pincepörkölt alap 1,5 kg | 1500.0 g | brand:KOMETA | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Húsok Bográcsozáshoz
 9 | Auchan | Frédi szelet sörös marinádban Ft/kg, csomagolt | 1000.0 g | brand:Hajnal | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Pácolt grill húsok
10 | Auchan | Lunter natúr tofu 180 g | 180.0 g | brand:Lunter | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
11 | Auchan | VeganChef Tzatziki krém 150 g | 150.0 g | brand:VeganChef | bolt: Tudatos táplálkozás > Speciális étrend > Vegán termékek > Vegán hűtött termékek
12 | Auchan | Lunter bükkfával füstölt tofu 180 g | 180.0 g | brand:Lunter | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
13 | Auchan | Lunter Grill tofu édes csilivel 180 g | 180.0 g | brand:Lunter | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
14 | Auchan | Dijo Tortilla Wraps elősütött grillezett lapos búzából készült kenyér 250 g | 250.0 g | brand:Dijo | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
15 | Auchan | Condito gluténmentes pizza szósz 350 g | 350.0 g | brand:Condito | bolt: Tartós élelmiszer > Nemzetközi konyha > További nemzetközi termékek > Görög
16 | Auchan | Demi Marshmallow BBQ 150 g | 150.0 g | brand:Demi | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
17 | Auchan | Vegan Grill fokhagymás tépett pecsenye 150 g | 150.0 g | brand:Vegan Grill | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
18 | Auchan | Hajdú laktózmentes serpenyős & grillsajt 225 g | 225.0 g | brand: | bolt: Tudatos táplálkozás > Speciális étrend > Laktózmentes termékek > Hűtött tejtermékek- sajt, sajtkrém
19 | Auchan | Nutrifree glutén - és laktózmentes hamburger 90 g | 90.0 g | brand:Nutrifree | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
20 | Auchan | Vegan Grill füstölt vegli 180 g | 180.0 g | brand:Vegan Grill | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
21 | Auchan | Vegan Manufactory Vegan Grill füstölt borsó-hús vegli 180 g | 180.0 g | brand:Vegan Grill | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
22 | Auchan | Vegan Grill Chorizo mini bászka 180g | 180.0 g | brand:Vegan Grill | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
23 | Auchan | Lorenz gluténmentes chips barbecue 120 g | 120.0 g | brand:Lorenz | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
24 | Auchan | Lorenz gluténmentes chips Spare Ribs 120 g | 120.0 g | brand:Lorenz | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
25 | Auchan | MinusL laktózmentes feta sajt 150 g | 150.0 g | brand:Minus L | bolt: Tudatos táplálkozás > Speciális étrend > Laktózmentes termékek > Hűtött tejtermékek- sajt, sajtkrém
==== SHEET 4 (CSV 2475..2499) ====
 1 | Auchan | Nutrifree glutén - és laktózmentes hot-dog 65 g | 65.0 g | brand:Nutrifree | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
 2 | Auchan | VEGANCHEF Veganéz light 320 g | 320.0 g | brand:VeganChef | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
 3 | Auchan | Nutrifee glutén - és laktózmentes baguettes 90 g | 90.0 g | brand:Nutrifree | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
 4 | Auchan | Balviten gluténmentes vegán magos hamburger buci 2 x 75 g (150 g ) | 150.0 g | brand:Balviten | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
 5 | Auchan | BioABC barnarizses csemege 200 g | 200.0 g | brand:Bio ABC | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
 6 | Auchan | BioABC füstölt gabona csemege 200 g | 200.0 g | brand:Bio ABC | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
 7 | Auchan | Nutrifree glutén -és laktózmentes hamburger zsemle 180 g | 180.0 g | brand:Nutrifree | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
 8 | Auchan | Vegan magyaros bászka 400 g | 400.0 g | brand:Vegan Grill | bolt: Tudatos táplálkozás > Speciális étrend > Vegán termékek > Vegán hűtött termékek
 9 | Auchan | Vegan Manufactory Vegan Grill magyaros hagymás szejtán 400 g | 400.0 g | brand:Vegan Grill | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
10 | Auchan | Well Well vegán klasszikus szója 4-es 200 g | 200.0 g | brand:Well Well | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
11 | Auchan | Condito gluténmentes karamelizált hagyma 400 g | 400.0 g | brand:Condito | bolt: Tartós élelmiszer > Nemzetközi konyha > További nemzetközi termékek > Görög
12 | Auchan | Vegan Manufactory Vegan Grill csípős hagymás szejtán 400 g | 400.0 g | brand:Vegan Grill | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
13 | Auchan | Condito American Style Mild gluténmentes mustár 500 g | 500.0 g | brand:Condito | bolt: Tartós élelmiszer > Nemzetközi konyha > További nemzetközi termékek > Görög
14 | Auchan | HELLMANN'S vegán majonéz 408 g | 408.0 g | brand:Hellmann's | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
15 | Auchan | Vegan Grill csípős szejtán 300 g | 300.0 g | brand:Vegan Grill | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
16 | Auchan | Vegan Manufactory Vegan Grill natúr szejtán tömb 400 g | 400.0 g | brand:Vegan Grill | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
17 | Auchan | Condito American Style gluténmentes ketchup 540 g | 540.0 g | brand:Condito | bolt: Tartós élelmiszer > Nemzetközi konyha > További nemzetközi termékek > Görög
18 | Auchan | Nutrifree focaccia break glutén - és laktózmentes focaccia 170g | 170.0 g | brand:Nutrifree | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
19 | Auchan | Vegan Grill burger 200 g | 200.0 g | brand:Vegan Grill | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
20 | Auchan | Vegan pikáns bászka 300 g | 300.0 g | brand:Vegan Grill | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
21 | Auchan | Real Nature Tofu natúr 200 g | 200.0 g | brand:Real Nature | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
22 | Auchan | Real Nature Tofu füstölt 200 g | 200.0 g | brand:Real Nature | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
23 | Auchan | Real Nature Tofu Indiai 200 g | 200.0 g | brand:Real Nature | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
24 | Auchan | Real Nature Tofu Burger 100 g | 100.0 g | brand:Real Nature | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
25 | Auchan | Real Nature Tofu frankfurti zöldséges 200 g | 200.0 g | brand:Real Nature | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Tudatos táplálkozás
