superDepartmentName	departmentName	aisleName	shelfName
Alapvető élelmiszerek	Szószok, mártások, poralapok	Szószok, mártások	Bolognai szószok
Alapvető élelmiszerek	Rizs, tészta, hüvelyesek, egyéb köretek	Levestészták	Eperlevél
Alapvető élelmiszerek	Ételízesítés	Folyékony fűszerek	Pizza- és spagettikrém
Alapvető élelmiszerek	Ételízesítés	Klasszikus fűszerek	Fokhagymás fűszerek
Alapvető élelmiszerek	Ételízesítés	Fűszerkeverékek, gyorspácok	Fűszerkeverékek panírhoz és húsokhoz
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Édesítőszerek	Egyéb édesítőszerek
Baba	Bébiital	Bébiital	Baba gyümölcsital
Baba	Bébiétel	Üveges Bébiétel	Zöldséges
Baba	Tej- és gabonapépek	Tej- és gabonapépek 6 hó+	Tejpép
Baba	Tápszer és Junior gyerekital	Tápszer és Junior gyerekital 12 hó+	Natúr
Baba	Bébiétel	Üveges Bébiétel	Gyümölcsös
Baba	Bébiétel	Tasakos bébiétel	Tasakos bébiétel
Baba	Tápszer és Junior gyerekital	Tápszer és Junior gyerekital 24 hó+	Ízesített
Baba	Tápszer és Junior gyerekital	Tápszer és Junior gyerekital 12 hó+	Ízesített
Baba	Tápszer és Junior gyerekital	Tápszer és Junior gyerekital 6 hó+	Natúr
Baba	Babakeksz és snack	Babakeksz és snack	Snack
Baba	Tej- és gabonapépek	Tej- és gabonapépek 6 hó+	Gabonapép
Baba	Tápszer és Junior gyerekital	Tápszer és Junior gyerekital 24 hó+	Natúr
Baba	Bébiétel	Poharas bébiétel	Poharas bébiétel
Baba	Tápszer és Junior gyerekital	Tápszer és Junior gyerekital 36 hó+	Natúr
Baba	Tápszer és Junior gyerekital	Tápszer és Junior gyerekital 0 hó+	Natúr
Baba	Bébiital	Bébiital	Baba tea
Baba	Babakeksz és snack	Babakeksz és snack	Keksz
Baba	Bébiital	Bébiital	Babavíz
Baba	Tej- és gabonapépek	Tej- és gabonapépek 8 hó+	Tejpép
Baba	Tej- és gabonapépek	Tej- és gabonapépek 12 hó+	Gabonapép
Fagyasztott áruk	Fagyasztott készételek és gombócok	Rántott zöldségek, rántott sajt	Rántott zöldségek, rántott sajt
Fagyasztott áruk	Jégkrémek	Jégkrémválogatások	Jégkrémválogatások
Fagyasztott áruk	Fagyasztott gyümölcs	Fagyasztott gyümölcs	Fagyasztott gyümölcs
Fagyasztott áruk	Jégkrémek	Pálcikás és tölcséres jégkrémek	Pálcikás és tölcséres jégkrémek
Fagyasztott áruk	Fagyasztott pizza és péktermék	Vékonytésztás pizzák	Vékonytésztás pizzák
Fagyasztott áruk	Fagyasztott zöldség	Fagyasztott zöldségek	Fagyasztott zöldségek
Fagyasztott áruk	Fagyasztott készételek és gombócok	Fagyasztott készételek	Fagyasztott készételek
Fagyasztott áruk	Fagyasztott készételek és gombócok	Gombóc és derelye	Gombóc és derelye
Fagyasztott áruk	Fagyasztott halak	Halászlé alapok	Halászlé alapok
Fagyasztott áruk	Fagyasztott halak	Natúr halak	Natúr halak
Fagyasztott áruk	Jégkrémek	Dobozos jégkrémek	Dobozos jégkrémek 1 l alatt
Fagyasztott áruk	Fagyasztott készételek és gombócok	Party falatok	Party falatok
Fagyasztott áruk	Fagyasztott zöldség	Fagyasztott burgonya	Fagyasztott burgonya
Fagyasztott áruk	Fagyasztott halak	Halrudak és panírozott termékek	Halrudak és panírozott termékek
Fagyasztott áruk	Jégkrémek	Dobozos jégkrémek	Dobozos jégkrémek 1 l fölött
Fagyasztott áruk	Fagyasztott hús és baromfi	Sertés, marha, baromfi, belsőségek	Sertés, marha, baromfi, belsőségek
Fagyasztott áruk	Fagyasztott pizza és péktermék	Vastagtésztás pizzák	Vastagtésztás pizzák
Fagyasztott áruk	Fagyasztott hús és baromfi	Panírozott csirke	Panírozott csirke
Fagyasztott áruk	Jégkrémek	Dobozos jégkrémek	Dobozos jégkrémek 1 l
Fagyasztott áruk	Fagyasztott pizza és péktermék	Péktermék	Péktermék
Fagyasztott áruk	Fagyasztott pizza és péktermék	Baguette, péksütemény	Baguette, péksütemény
Fagyasztott áruk	Fagyasztott halak	Friss tenger gyümölcsei	Friss tenger gyümölcsei
Fagyasztott áruk	Fagyasztott hús és baromfi	Panírozott pulyka	Panírozott pulyka
Fagyasztott áruk	Jégkrémek	Rétesek és torták	Rétesek és torták
Hús, felvágott	Csemege húskészítmények	Füstölt áru	Csomagolt füstölt áru
Hús, felvágott	Csomagolt friss húsok	Baromfi	Baromfi
Hús, felvágott	Csemege húskészítmények	Májasok	Pultos májasok, pástétomok
Hús, felvágott	Csemege húskészítmények	Hurka, kolbász, szalámi, turista	Szalámi, kolbász (rúd)
Hús, felvágott	Csemege húskészítmények	Hurka, kolbász, szalámi, turista	Szalámi, kolbász (szeletelt, csomagolt)
Hús, felvágott	Csemege húskészítmények	Virsli	Csomagolt virsli
Hús, felvágott	Csemege húskészítmények	Hurka, kolbász, szalámi, turista	Szalámi, kolbász (pultos)
Hús, felvágott	Csemege húskészítmények	Párizsi	Pultos párizsi
Hús, felvágott	Csemege húskészítmények	Párizsi	Csomagolt párizsi
Hús, felvágott	Pultos friss húsok	Baromfi	Baromfi
Hús, felvágott	Csemege húskészítmények	Sonka	Csomagolt szeletelt sonka
Hús, felvágott	Csemege húskészítmények	Felvágottak	Egyéb felvágottak
Hús, felvágott	Csemege húskészítmények	Szalonna, bacon	Csomagolt szalonna, bacon
Hús, felvágott	Csemege húskészítmények	Sonka	Pultos sonka
Hús, felvágott	Pultos friss húsok	Sertés	Sertés
Hús, felvágott	Csemege húskészítmények	Szalonna, bacon	Pultos szalonna, bacon
Hús, felvágott	Csemege húskészítmények	Májasok	Csomagolt májasok
Hús, felvágott	Csomagolt friss húsok	Vadhús	Vadhús
Hús, felvágott	Csemege húskészítmények	Egyéb húskészítmények	Egyéb húskészítmény
Hús, felvágott	Csomagolt friss húsok	Sertés	Sertés
Hús, felvágott	Csomagolt friss húsok	Marha, borjú	Borjú
Hús, felvágott	BBQ	BBQ	BBQ
Hús, felvágott	Halak	Különlegességek	Különlegességek
Hús, felvágott	Csomagolt friss húsok	Marha, borjú	Marha
Hús, felvágott	Halak	Friss csomagolt halak	Friss csomagolt halak
Hús, felvágott	Csemege húskészítmények	Hurka, kolbász, szalámi, turista	Sütő- és főzőkolbász
Hús, felvágott	Csemege húskészítmények	Hurka, kolbász, szalámi, turista	Turista
Hús, felvágott	Pultos friss húsok	Marha	Marha
Hús, felvágott	Csemege húskészítmények	Virsli	Pultos virsli
Hús, felvágott	Csemege húskészítmények	Állati zsírok	Állati zsírok
Hús, felvágott	Csemege húskészítmények	Sonka	Csomagolt tömbös sonka
Hús, felvágott	Csomagolt friss húsok	Bárány	Bárány
Hús, felvágott	Csemege húskészítmények	Hurka, kolbász, szalámi, turista	Pultos hurka, kolbász
Hús, felvágott	Csomagolt friss húsok	BBQ	BBQ
Hús, felvágott	Csemege húskészítmények	Füstölt áru	Pultos füstölt áru
Italok	Hazai fehérborok	Száraz fehérborok	Felső-Pannon
Italok	Gyümölcs és zöldséglevek	Gyerek italok	Gyerek italok
Italok	Kávé	2in1/3in1 kávé	Ricoré
Italok	Üdítőitalok	Szénsavas üdítőitalok	Nagy kiszerelés
Italok	Kávé	Szemes Kávé	900-1000g
Italok	Hazai vörösborok	Félédes vörösborok	Felső-Magyarország
Italok	Sör, cider	Ciderek	Ciderek
Italok	Tea	Gyümölcsteák	Gyümölcsteák
Italok	Sör, cider	Világos sörök	Dobozos
Italok	Hazai fehérborok	Száraz fehérborok	Felső-Magyarország
Italok	Víz	Szénsavmentes ásványvíz	Kis Kiszerelés
Italok	Tea	Fekete teák	Fekete Teák
Italok	Szeszes italok	Koktélok	Koktélok
Italok	Üdítőitalok	Energia- és sportitalok	Energiaitalok
Italok	Üdítőitalok	Szénsavas üdítőitalok	Kis Kiszerelés
Italok	Üdítőitalok	Jegesteák	Kis Kiszerelés
Italok	Gyümölcs és zöldséglevek	100% gyümölcslevek	100% Gyümölcslevek
Italok	Víz	Ízesített víz	Kis Kiszerelés
Italok	Hazai vörösborok	Félédes vörösborok	Duna
Italok	Szeszes italok	Likőr	Krémlikőr
Italok	Szeszes italok	Whisky	Bourbon whisky
Italok	Pezsgők	Hagyományos pezsgők	Édes pezsgők
Italok	Hazai fehérborok	Száraz fehérborok	Balaton
Italok	Szeszes italok	Pálinka	Szilva pálinka
Italok	Szeszes italok	Ízesített szeszesitalok	Ízesített szeszesitalok
Italok	Kávé	Instant Kávé	Klasszikus
Italok	Szeszes italok	Likőr	Gyógynövény, keserű likőr
Italok	Kakaó és forró csokoládé	Forró csokoládé	Klasszikus
Italok	Kávé	Kávépárnák és -kapszulák	Nespresso kompatibilis
Italok	Kávé	Őrölt-pörkölt kávé	900-1000g
Italok	Nemzetközi borok	Fehérborok	Olaszország
Italok	Szeszes italok	Rum	Rum alapú szeszesítal
Italok	Kávé	2in1/3in1 kávé	2in1
Italok	Gyümölcs és zöldséglevek	Gyümölcs nektárok és egyéb gyümölcsitalok	Gyümölcs nektárok és egyéb gyümölcsitalok
Italok	Üdítőitalok	Jegesteák	Nagy kiszerelés
Italok	Sör, cider	Világos sörök	Üveges
Italok	Nemzetközi borok	Vörösborok	Moldávia
Italok	Pezsgők	Hagyományos pezsgők	Száraz pezsgők
Italok	Kakaó és forró csokoládé	Kakaó	Klasszikus
Italok	Pezsgők	Alkoholmentes és gyerekpezsgők	Alkoholmentes és gyerekpezsgők
Italok	Szörpök, italporok, citromlevek	Szörpök, szirupok	Egyéb ízesítésű szörpök, szirupok
Italok	Kávé	Kávépárnák és -kapszulák	Dolce Gusto kompatibilis
Italok	Sör, cider	Alkoholmentes sörök és alkoholmentes ízesített sörök	Alkoholmentes ízesített sörök
Italok	Hazai vörösborok	Száraz vörösborok	Pannon
Italok	Tea	Gyógyteák	Gyógyteák
Italok	Szeszes italok	Vodka	Vodka
Italok	Szeszes italok	Likőr	Egyéb likőr
Italok	Kávé	Őrölt-pörkölt kávé	200-250g
Italok	Szeszes italok	Gin	Gin
Italok	Egyéb borok	Egyéb borok	Must, forralt bor, gyümölcsbor
Italok	Nemzetközi borok	Vörösborok	Spanyolország
Italok	Szeszes italok	Whisky	Egyéb whisky
Italok	Víz	Szénsavmentes ásványvíz	Nagy kiszerelés
Italok	Tea	Fekete teák	Ízesített fekete teák
Italok	Sör, cider	Világos sörök	Multipack
Italok	Nemzetközi borok	Fehérborok	Új-Zéland
Italok	Hazai vörösborok	Száraz vörösborok	Felső-Magyarország
Italok	Hazai roséborok	Száraz roséborok	Duna
Italok	Hazai roséborok	Száraz roséborok	Pannon
Italok	Hazai vörösborok	Édes vörösborok	Felső-Magyarország
Italok	Kávé	Pótkávé	Pótkávé
Italok	Hazai fehérborok	Édes fehérborok	Tokaji
Italok	Szörpök, italporok, citromlevek	Italporok	Italporok
Italok	Sör, cider	Sörkülönlegességek	Különleges világos sörök
Italok	Hazai fehérborok	Száraz fehérborok	Tokaji
Italok	Hazai vörösborok	Félédes vörösborok	Balaton
Italok	Sör, cider	Ízesített Sörök	Ízesített Sörök
Italok	Kávé	Instant Kávé	Extra krémes
Italok	Kávé	Szemes Kávé	200-250g
Italok	Kávé	Kávékrémpor, tejpor	Kávékrémpor, tejpor
Italok	Gyümölcs és zöldséglevek	Smoothie	Smoothie
Italok	Víz	Szénsavas ásványvíz	Nagy kiszerelés
Italok	Szörpök, italporok, citromlevek	Citromlevek	Citromlevek
Italok	Szeszes italok	Pálinka	Alma pálinka
Italok	Üdítőitalok	Energia- és sportitalok	Sportitalok
Italok	Szeszes italok	Whisky	Skót whisky
Italok	Hazai roséborok	Száraz roséborok	Felső-Pannon
Italok	Hazai fehérborok	Száraz fehérborok	Duna
Italok	Hazai fehérborok	Száraz fehérborok	Pannon
Italok	Gyöngyözőborok	Édes és félédes gyöngyözőborok	Édes és félédes gyöngyözőborok
Italok	Szeszes italok	Brandy	Brandy
Italok	Víz	Ízesített víz	Nagy kiszerelés
Italok	Egyéb borok	Egyéb borok	Alkoholmentes
Italok	Kávé	Őrölt-pörkölt kávé	450-500g
Italok	Szeszes italok	Rum	Rum
Italok	Sör, cider	Sörkülönlegességek	Kézműves sörök
Italok	Kávé	Instant Cappuccino	ízesített
Italok	Hazai roséborok	Száraz roséborok	Felső-Magyarország
Italok	Kávé	2in1/3in1 kávé	Klasszikus
Italok	Hazai vörösborok	Édes vörösborok	Duna
Italok	Pezsgők	Hagyományos pezsgők	Asti
Italok	Hazai vörösborok	Száraz vörösborok	Balaton
Italok	Pezsgők	Hagyományos pezsgők	Félszáraz pezsgők
Italok	Hazai fehérborok	Félédes fehérborok	Duna
Italok	Gyöngyözőborok	Félszáraz gyöngyözőborok	Félszáraz gyöngyözőborok
Italok	Hazai fehérborok	Félédes fehérborok	Tokaji
Italok	Víz	Szénsavas ásványvíz	Kis Kiszerelés
Italok	Hazai roséborok	Édes roséborok	Besorolás alatt
Italok	Szeszes italok	Pálinka	Egyéb ízesítésű pálinkák
Italok	Hazai roséborok	Száraz roséborok	Balaton
Italok	Hazai vörösborok	Száraz vörösborok	Duna
Italok	Tea	Zöld- és fehérteák	Zöld- és fehérteák
Italok	Kávé	Koffeinmentes kávé	Nespresso kompatibilis
Italok	Kávé	Szemes Kávé	450-500g
Italok	Kávé	Instant Kávé	Gold
Italok	Szeszes italok	Tequila	Tequila
Italok	Nemzetközi borok	Roséborok	Olaszország
Italok	Hazai fehérborok	Félédes fehérborok	Balaton
Italok	Nemzetközi borok	Fehérborok	Franciaország
Italok	Hazai vörösborok	Száraz vörösborok	Besorolás alatt
Italok	Kávé	Kávépárnák és -kapszulák	Cafissimo
Italok	Szörpök, italporok, citromlevek	Szörpök, szirupok	Málna és szamóca ízű szörpök, szirupok
Italok	Sör, cider	Sörkülönlegességek	Barna sörök
Italok	Hazai fehérborok	Száraz fehérborok	Besorolás alatt
Italok	Hazai fehérborok	Félédes fehérborok	Felső-Magyarország
Italok	Hazai roséborok	Félszáraz roséborok	Felső-Magyarország
Italok	Kávé	Szemes Kávé	100-125g
Italok	Kávé	Koffeinmentes kávé	Instant kávé
Italok	Gyümölcs és zöldséglevek	Zöldséglevek	Zöldséglevek
Italok	Nemzetközi borok	Fehérborok	Moldávia
Italok	Hazai fehérborok	Édes fehérborok	Duna
