APPEARANCE	NAME	HITPOINTS	SHIELD	CREDITS	URIDIUM
	Uber Battleray	2.640.000	2.080.000	4.000.000 	300 
	Spookfish	800.000	500.000	250.000 	180 
	Lanternfish	1.500.000	80.000	500.000 	240 
	Barb	1.800.000	1.000.000	650.000 	360 
	Pike	4.000.000	1.500.000	1.000.000 	800 
	Stinger	85.000.000	75.000.000	10.000.000 	2.000 
	Plagued Kristallin	75.000	60.000	12.800 	16 
	Blighted Kristallon	600.000	400.000	500.000 	150 
	Blighted Gygerthrall	240.000	200.000	18.800 	24 
	Viral Kristallon	600.000	400.000	500.000 	150 
	Viral Gygerthrall	240.000	200.000	18.800 	24 
	Plague Rocket	60.000	0	0 	0 
	Gygerim Overlord	60.000.000	60.000.000	0 	28.000 
	Kucurbium	1.650.000	1.200.000	1.638.400 	256 
	Boss Kucurbium	3.200.000	2.400.000	13.017.200 	2.048 
	Vagrant	40.000	40.000	15.000 	8 
	Marauder	80.000	60.000	30.000 	16 
	Outcast	150.000	80.000	50.000 	24 
	Corsair	200.000	120.000	80.000 	32 
	Hooligan	250.000	200.000	125.000 	64 
	Ravager	300.000	200.000	160.000 	128 
	Convict	400.000	200.000	220.000 	150 
	Infernal	60.000	50.000	25.000 	16 
	Scorcher	200.000	200.000	150.000 	32 
	Melter	400.000	300.000	400.000 	256 
	Devourer	2.000.000	1.000.000	2.500.000 	1.024 
	SaNeJiEwZ	400.000	300.000	409.600 	256 
	Century Falcon	800.000	600.000	1.000.000 	5.000 
	Emperor Lordakium	9.600.000	6.800.000	2.000.000 	9.214 
	Emperor Kristallon	14.080.000	10.560.000	5.000.000 	36.861 
	Emperor Sibelon	6.400.000	6.400.000	1.400.000 	4.608 
	Spinel	40.000-320.000	40.000-320.000	8.000-48.000 	7-42 
	Agatus	400.000-3.200.000	400.000-3.200.000	409.600-2.457.600 	188-1.128 
	Chaos Protegit	15.000-165.000	12.500-142.500	3.200-38.400 	4-48 
	HITAC MOTHERSHIP 2.5	6.250.000	3.500.000	1.000.000 	2.500 
	Minion 2.5	2.000.000	1.500.000	2.500.000 	1.250 
	HITAC MOTHERSHIP 2.0	14.500.000	8.000.000	2.000.000 	5.000 
	Minion 2.0	5.500.000	3.500.000	5.000.000 	2.500 
	Hitac Underling	12.000-320.000	9.000-240.000	1.001-40.000 	3-96 
	Hitac UnderBoss	240.000-6.400.000	180.000-4.800.000	163.841-6.553.600 	52-2.048 
	Curcubitor	10.000-360.000	7.500-270.000	1.001-45.000 	2-108 
	Boss Curcubitor	200.000-7.200.000	150.000-5.400.000	163.841-7.400.000 	52-2.300 
	Binary Bot	100.000-800.000	300.000-1.200.000	204.800-2.048.000 	64-640 
	Santa Bot	100.000-800.000	300.000-1.200.000	204.800-2.048.000 	64-640 
	Icy	100.000	80.000	12.800 	16 
	Ice Meteoroid	1.600.000	1.200.000	3.000.000 	1.800 
	Super Ice Meteoroid	3.200.000	2.400.000	6.553.600 	3.600 
	Frozen Icy	20.000	10.000	6.400 	8 
	Frozen Kristallin	50.000	40.000	16.000 	20 
	Frozen Boss Kristallin	200.000	160.000	64.000 	80 
	Frozen Kristallon	150.000	100.000	32.000 	40 
	Frozen Boss Kristallon	800.000	600.000	128.000 	160 
	Frozen Meteoroid	2.000.000	1.500.000	3.750.000 	2.250 
	Frozen Super Meteoroid	3.200.000	2.400.000	6.553.600 	3.600 
	Skoll	15.000.000	15.000.000	1.000.000 	6.000 
	Synk	10.000	0	1.250 	10.000 
	Iceterion	–	–	–	–
	Lanatum	10.000-320.000	5.000-240.000	4.000–124.000	4–109
	Styxus	225.000-7.200.000	150.000-4.800.000	204.800–6.348.800	94–2.914
	Charopos	225.000-7.200.000	150.000-4.800.000	204.800–6.348.800	94–2.914
	Hexor Mimesis	495.000	200.000	128.000 	100 
	Raging Mimesis	1.095.000	600.000	512.000 	300 
	Cloning Mimesis	2.200.000	1.200.000	1.024.000 	600 
	Cloned Mimesis	495.000	200.000	128.000 	100 
	Terror Mimesis	3.000.000	1.800.000	2.048.000 	900 
	Kamikaze Mimesis	495.000	200.000	128.000 	100 
	Reflector Mimesis	4.500.000	2.500.000	4.096.000 	1.250 
	Assailant Mimesis	900.000	600.000	512.000 	300 
	Raider Mimesis	900.000	600.000	512.000 	300 
	Medic Mimesis	2.450.000	1.625.000	1.024.000 	1.250 
	Inspirit Mimesis	2.800.000	1.750.000	1.024.000 	1.250 
	Hardy Mimesis	3.000.000	6.000.000	1.024.000 	1.500 
	Piercing Mimesis	5.250.000	3.500.000	2.048.000 	1.700 
	Hounding Mimesis	5.250.000	3.500.000	2.048.000 	1.700 
	Sniper Mimesis	5.250.000	3.500.000	2.048.000 	1.700 
	Obscured Mimesis	4.200.000	2.800.000	4.096.000 	2.200 
	Mirror Mimesis	3.000.000	2.000.000	4.096.000 	2.200 
	Marker Mimesis	6.750.000	4.500.000	4.096.000 	2.200 
	Mimesis Turret	2.100.000	0	0 	0 
	Magma Stalker	6.000-64.800	6.000-64.800	192-1.152 	1-3 
	Pyrospire	45.000-405.000	45.000-405.000	1.536-7.680 	1-4 
	Spore Stalker	6.000-64.800	6.000-64.800	256-2.074 	1-5 
	Vinespire	45.000-405.000	45.000-405.000	1.536-13.824 	1-6 
	Veil Stalker	6.000-64.800	6.000-64.800	256-2.074 	1-5 
	Chronospire	45.000-405.000	45.000-405.000	1.536-13.824 	1-6 
