index,id,name,parent_id,path,path_ids,source,product_count,url
21,1718,Sajt és tejtermékek (beleértve a vajat és a sajtot),17,A szükség világai > Élelmiszer és élelmiszer-közeli élelmiszerek > Sajt és tejtermékek (beleértve a vajat és a sajtot),0|17|1718,product_won_category,127,
22,1715,"Tojás és alapvető élelmiszerek (tészta, liszt, hüvelyesek stb.)",17,"A szükség világai > Élelmiszer és élelmiszer-közeli élelmiszerek > Tojás és alapvető élelmiszerek (tészta, liszt, hüvelyesek stb.)",0|17|1715,product_won_category,43,
23,1732,Virágok és növények (élő növények és csokrok),17,A szükség világai > Élelmiszer és élelmiszer-közeli élelmiszerek > Virágok és növények (élő növények és csokrok),0|17|1732,product_won_category,7,
24,1735,"Zsírok, olajok, ecet és konzervek",17,"A szükség világai > Élelmiszer és élelmiszer-közeli élelmiszerek > Zsírok, olajok, ecet és konzervek",0|17|1735,product_won_category,11,
25,1728,Állateledel,17,A szükség világai > Élelmiszer és élelmiszer-közeli élelmiszerek > Állateledel,0|17|1728,product_won_category,37,
26,101013,Alkoholmentes borok,1010,A szükség világai > Bor és szeszes italok > Bor > Alkoholmentes borok,0|10|1010|101013,product_won_category,1,
27,101010,Fehérbor,1010,A szükség világai > Bor és szeszes italok > Bor > Fehérbor,0|10|1010|101010,product_won_category,38,
28,101012,Rosé bor,1010,A szükség világai > Bor és szeszes italok > Bor > Rosé bor,0|10|1010|101012,product_won_category,14,
29,101011,Vörösbor,1010,A szükség világai > Bor és szeszes italok > Bor > Vörösbor,0|10|1010|101011,product_won_category,37,
30,101210,Pezsgő,1012,"A szükség világai > Bor és szeszes italok > Pezsgő, pezsgő & Co. > Pezsgő",0|10|1012|101210,product_won_category,10,
31,101212,Prosecco,1012,"A szükség világai > Bor és szeszes italok > Pezsgő, pezsgő & Co. > Prosecco",0|10|1012|101212,product_won_category,5,
32,101112,Gin,1011,A szükség világai > Bor és szeszes italok > Szeszes italok > Gin,0|10|1011|101112,product_won_category,8,
33,101113,Likőr,1011,A szükség világai > Bor és szeszes italok > Szeszes italok > Likőr,0|10|1011|101113,product_won_category,4,
34,101111,Rum,1011,A szükség világai > Bor és szeszes italok > Szeszes italok > Rum,0|10|1011|101111,product_won_category,4,
35,101114,Schnapps & Co.,1011,A szükség világai > Bor és szeszes italok > Szeszes italok > Schnapps & Co.,0|10|1011|101114,product_won_category,1,
36,101115,Vodka,1011,A szükség világai > Bor és szeszes italok > Szeszes italok > Vodka,0|10|1011|101115,product_won_category,2,
37,101110,Whisky,1011,A szükség világai > Bor és szeszes italok > Szeszes italok > Whisky,0|10|1011|101110,product_won_category,5,
